,score
topic_his_mean_kurt,3.4597042631645536e-05
contrastive_vector9,3.449198845012491e-05
category_freq_fix,3.431445224016949e-05
history_scroll_percentage_std,3.184341817813463e-05
impr_category_cnt,3.0137818689879303e-05
cl_history_std,2.9960653181337893e-05
user_id_impression_id_article_article_hour_cnt_with_ctr_rank_reverse,2.9766154546362333e-05
num_publish_hour_13,2.8715543032686863e-05
distance_published_hour_cos_mean,2.8055378893110383e-05
article_freq_fix,2.6357910422436515e-05
publish_48hour_article_inview_num_min,2.6318686591308982e-05
publish_48hour_article_read_time_std,2.5097146543695548e-05
total_pageviews_mean_impr,2.4533711404484126e-05
title_inreviws_mean_kurt,2.4313249512020185e-05
w2v_history_std,2.4272804012570592e-05
category_inview_num_std,2.3705414634034305e-05
article_inviews_len_mean,2.3273183158423194e-05
cate_emb_sim_inreviws_mean_std,2.3234988107079246e-05
impression_day_hour_article_inview_num_max,2.3023451934389705e-05
user_w2v_each_cosine_mean,2.2460581297900628e-05
category_hist_click_num,2.2095491125417865e-05
num_publish_hour_38,2.1751999904118247e-05
body_his_mean_std,2.1739276141685693e-05
topic_inreviws_mean_std,2.0546278369282245e-05
impression_day_hour_device_type_article_inview_num_min,2.0436628938302892e-05
day_hour_article_read_time_std,1.91463046771978e-05
history_read_time_mean,1.751484439965756e-05
cumsum_publish_hour_10,1.741883739686534e-05
cumsum_publish_hour_3,1.701325640285356e-05
cate_emb_sim_his_mean_kurt,1.575219141358719e-05
w2v_inview_std,1.5628603970863075e-05
history_scroll_percentage_skew,1.549125262023665e-05
article_type,1.5275609718645722e-05
session_total_pageviews_mean_diff,1.5180330936226394e-05
num_publish_hour_10,1.4359850207423808e-05
user_impression_freq_last_fix,1.3949107474819922e-05
cate_emb_sim_his_mean_skew,1.2796103931012048e-05
ctr_mean_impr,1.2693627050308631e-05
history_article_id_nunique,1.2401569269793189e-05
total_pageviews,1.2364502281536627e-05
num_publish_hour_3,1.0858563206261884e-05
subcate_emb_sim_inview_item_all_mean_sim_list,1.057697130324442e-05
body_difficult_words,1.0283326492166456e-05
impr_inview_cnt,9.693130999022248e-06
num_publish_hour_20,8.795202591893592e-06
user_w2v_each_cosine_skew,8.743032432756426e-06
article_read_time_std,8.727422206589175e-06
topic_his_mean_skew,8.239335638704492e-06
user_id_impression_id_total_read_time_mean,8.014976921821848e-06
contrastive_vector10,7.417787586005975e-06
impr_first_sub_category_cnt,7.161702896163469e-06
num_publish_hour_9,6.616548185955917e-06
user_id_impression_id_his_subcate_cnt_mean,6.572346164357423e-06
article_pv_diff_skew,6.1861191840706375e-06
impression_hour_article_inview_num_mean,6.10371682507882e-06
images_history_std,5.872913896975973e-06
article_scroll_percentage_std,5.6087344670330275e-06
impression_day_hour_article_inview_num_max_min,5.024885442239668e-06
subcate_emb_sim_his_mean_skew,4.3178890912765056e-06
cumsum_publish_hour_9,3.553680281709326e-06
body_flesch_kincaid_grade,1.9129864755607073e-06
total_inviews_mean,1.3554218382672012e-06
user_inreviws_mean_kurt,8.738376933714598e-07
user_id_impression_id_total_read_time_mean_diff,8.55169242641729e-07
user_id_impression_id_article_hour_cnt_with_ctr_mean,8.042504181515753e-07
impr_article_total_pageviews_rank,7.54186733731288e-07
article_inview_num_mean,1.6531760083093872e-07
session_id_impression_time_next,4.417363813624675e-08
impr_article_total_pageviews_rank_reverse,0.0
publish_48hour_article_inview_num_max,0.0
impression_day_hour_article_inview_num_min,0.0
user_impr_category_ratio_std,0.0
user_id_impression_id_cl_each_cosine_mean,0.0
user_id_impression_id_article_publish_48hour_article_inview_num_mean_rank,0.0
user_id_impression_id_article_his_subcate_cnt_rank_reverse,0.0
user_id_impression_id_w2v_each_cosine_mean,0.0
impr_article_total_inviews_rank,0.0
read_time_fixed_sum,-1.0421426777096343e-07
impr_hour_article_cnt_mean_impr,-3.57137867890156e-07
user_id_impression_id_article_total_read_time_rank,-5.660306443000529e-07
cumsum_publish_hour_12,-7.974590228165823e-07
topic_inreviws_mean_skew,-1.1175279439057384e-06
num_publish_hour_19,-1.1549994817228182e-06
imporession_hour_cos,-2.1013156938365363e-06
title_inreviws_mean_skew,-2.5508721807621093e-06
impr_article_total_inviews_rank_right,-3.2661125882738062e-06
session_id_articles_len_next,-3.4073360933861707e-06
title_spelling_errors,-3.6161226583675266e-06
num_publish_hour_35,-3.820471959681271e-06
impression_hour,-4.4676797830156545e-06
cumsum_publish_hour_6,-4.560849785228971e-06
cl_inview_kurt,-5.289376281580882e-06
impression_hour_article_inview_num_std,-5.75067052455136e-06
bert_each_euclidean,-6.0655349664040514e-06
imporession_hour_sin,-6.572690178896501e-06
article_pv_max,-6.8897486941721375e-06
article_id_day_count,-8.085366100252234e-06
user_id_impression_id_article_w2v_each_cosine_rank_reverse,-8.357440861306298e-06
publish_48hour_article_scroll_percentage_std,-8.697841109683857e-06
num_publish_hour_31,-9.325216393019087e-06
contrastive_vector1,-1.2083393835349288e-05
user_id_impression_id_article_his_subcate_cnt_rank,-1.4965050225967946e-05
device_type_article_inview_num_std,-1.9223996991224457e-05
article_pv_diff_sum,-1.9289381906539838e-05
num_publish_hour_2,-1.9789684898019466e-05
cumsum_publish_hour_24,-1.9877768989262634e-05
num_publish_hour_28,-2.184849709940817e-05
cumsum_publish_hour_8,-2.208475446158209e-05
impr_article_impr_pub_interval_rank_reverse,-2.234976501030994e-05
article_inview_num_std,-2.29250205858178e-05
user_total_inviews_mean,-2.6157390793479784e-05
user_id_impression_id_his_subcate_cnt_mean_diff,-2.659786624031879e-05
num_publish_hour_32,-2.740242577914387e-05
next_exp_diff,-3.058292559643405e-05
publish_48hour_article_inview_num_mean,-3.234723344058832e-05
user_id_impression_id_article_cl_each_cosine_rank_reverse,-3.2819181781829077e-05
cl_each_euclidean,-3.478484138208504e-05
num_publish_hour_1,-3.552362969422296e-05
distance_published_hour_cos_mean_impr,-3.580027587868351e-05
body_dale_chall_readability_score_v2,-3.6049865221821076e-05
impression_total_pageviews_mean_impr_diff,-3.6475265538404855e-05
user_impr_category_num_std,-3.676409939967762e-05
impression_day_hour_device_type_article_inview_num_mean,-3.8660600036044546e-05
user_id_impression_id_article_cl_each_cosine_rank,-3.959697655903094e-05
user_id_impression_id_article_w2v_each_cosine_rank,-4.378593165266231e-05
bert_each_cosine,-4.411109755114717e-05
body_text_standard,-4.4232822737300115e-05
body_difficult_words_ratio,-4.974871708196549e-05
user_id_impression_id_cl_each_cosine_mean_diff,-5.111977976784976e-05
num_publish_hour_44,-5.380792907166976e-05
num_publish_hour_30,-5.469741227703828e-05
article_inviews_len_std,-5.9898280438230866e-05
category_inview_num_mean,-6.076343725530675e-05
user_id_impression_id_article_article_hour_cnt_with_ctr_rank,-6.165329816065768e-05
num_publish_hour_16,-6.228724131385199e-05
body_dale_chall_readability_score,-6.665050823140284e-05
bert_roberta_cosine_similarity,-6.88054418811479e-05
body_avg_char_per_word,-6.919571639013578e-05
category_hist_click_scroll_percentage_mean_ratio,-7.143809124410261e-05
num_publish_hour_39,-7.311452122560347e-05
num_publish_hour_40,-8.035027520936211e-05
total_inviews_mean_impr_diff,-8.121222873264111e-05
impr_article_impr_hour_article_cnt_rank_reverse,-9.22128082590512e-05
device_type_article_inview_num_mean,-0.00010849820649733166
article_pv_min,-0.0001226686840630764
images_each_cosine,-0.00012673215439490404
pulish_3day,-0.00015277093919779938
distance_publish_days,-0.00017045644006924432
impr_article_distance_published_hour_cos_rank,-0.00019017108151064832
impr_pub_hour_imprs_mean_impr,-0.00019106942731927923
num_publish_hour_34,-0.0002242316060105387
w2v_each_euclidean,-0.00022549763350621088
user_id_impression_id_publish_48hour_article_inview_num_mean_mean,-0.0002371056523680637
cl_each_cosine,-0.0002596366838684139
his_subcate_cnt,-0.00028044627929463273
subcate_emb_sim_inreviws_mean_std,-0.0003124582065721082
category_hist_click_read_time_sum_ratio,-0.00031853180068097675
total_inviews,-0.00032341831520588116
impr_pub_hour_imprs_diff,-0.00034164545572462623
w2v_each_cosine,-0.0003470037749685462
article_ids_inview,-0.0003570345390125351
category_hist_click_num_ratio,-0.0004963933596665582
distance_published_hour_sin,-0.0005233841990708865
user_id_impression_id_publish_48hour_article_inview_num_mean_mean_diff,-0.0006882069500200871
impr_pub_hour_imprs_mean_impr_diff,-0.0010901940882280803
impr_pub_hour_imprs,-0.0012880099621427887
distance_publish_seconds,-0.0014727793929966704
impr_article_impr_pub_hour_imprs_rank_reverse,-0.0017487607805407035
distance_publish_minutes,-0.002143021697796177
publish_48hour,-0.0021530456128574516
